l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
2800,499,53,3,6.75,4153.45,0.03,0.08,R,F,1993-02-05,1993-03-07,1993-02-19,COLLECT COD,REG AIR,regular regular blithely final unusual furio
2801,464,2,1,17.78,758.82,0.0,0.08,A,F,1998-04-30,1998-05-30,1998-05-01,NONE,FOB,express furiously carefully slyly regular
2801,424,11,2,18.05,415.4,0.07,0.02,A,F,1998-05-25,1998-06-17,1998-06-22,NONE,RAIL,furiously blithely special slyly blithely ca
2801,410,10,3,39.3,1708.19,0.03,0.01,R,F,1998-05-04,1998-05-24,1998-05-21,COLLECT COD,MAIL,pending furiously pending
2802,66,14,1,42.98,1876.73,0.02,0.08,A,F,1994-06-04,1994-05-20,1994-06-09,DELIVER IN PERSON,SHIP,silent silent express final quickly unusual 
2802,173,95,2,42.41,186.93,0.05,0.03,R,F,1994-06-03,1994-07-07,1994-06-22,DELIVER IN PERSON,AIR,slyly quickly special carefully regular unus
2802,69,100,3,24.63,1377.3,0.06,0.03,R,F,1994-04-25,1994-07-10,1994-05-23,DELIVER IN PERSON,SHIP,silent pending final blithely furiously quic
2803,456,19,1,19.13,4466.06,0.0,0.07,A,F,1996-11-07,1997-01-24,1996-11-30,TAKE BACK RETURN,REG AIR,pending slyly furiously final special
2803,439,56,2,47.95,3950.36,0.06,0.01,A,F,1996-12-16,1996-12-25,1996-12-21,TAKE BACK RETURN,AIR,furiously blithely special carefully slyly b
2803,403,100,3,12.52,1859.25,0.0,0.05,R,F,1996-11-29,1997-01-05,1996-12-26,TAKE BACK RETURN,AIR,special silent silent
2804,178,51,1,11.1,2360.73,0.03,0.05,A,F,1994-07-31,1994-08-04,1994-08-04,TAKE BACK RETURN,AIR,silent special quickly furiously blithely pe
2804,139,64,2,47.95,2159.18,0.03,0.01,A,F,1994-07-04,1994-08-19,1994-07-21,NONE,RAIL,slyly slyly pending pending unusual slyly fu
2804,344,27,3,10.14,4501.28,0.09,0.08,A,F,1994-06-26,1994-09-13,1994-07-06,COLLECT COD,FOB,special special unusual quickly furiously re
2805,484,28,1,2.33,2131.31,0.09,0.03,A,F,1995-02-20,1995-05-01,1995-03-06,TAKE BACK RETURN,TRUCK,final carefully regular final quickly final 
2805,294,70,2,46.03,4722.94,0.05,0.04,A,F,1995-03-08,1995-03-21,1995-03-13,COLLECT COD,SHIP,quickly furiously regular unusual
2805,99,50,3,15.21,3378.4,0.01,0.07,N,F,1995-03-02,1995-03-21,1995-03-31,NONE,MAIL,slyly furiously slyly blithely slyly silent
2806,325,80,1,22.45,1667.15,0.09,0.05,R,F,1999-02-09,1999-02-02,1999-03-02,DELIVER IN PERSON,MAIL,blithely express unusual express furiously s
2806,366,3,2,6.08,3317.75,0.04,0.0,A,F,1999-02-20,1999-03-08,1999-03-09,TAKE BACK RETURN,MAIL,unusual silent express
2806,444,96,3,33.56,3771.23,0.03,0.02,A,F,1999-01-23,1999-02-22,1999-02-08,TAKE BACK RETURN,REG AIR,silent silent final
2807,171,21,1,8.21,4225.05,0.07,0.06,N,F,1996-12-30,1997-02-07,1997-01-12,COLLECT COD,AIR,express express special quickly carefully fi
2807,200,84,2,20.92,3406.34,0.09,0.06,N,F,1997-01-20,1997-02-13,1997-02-08,COLLECT COD,AIR,express quickly final final unusual regular 
2807,293,4,3,13.47,2721.8,0.04,0.06,A,F,1997-01-13,1997-01-16,1997-01-24,DELIVER IN PERSON,RAIL,slyly silent blithely special
2808,79,98,1,43.04,2374.51,0.03,0.02,A,F,1998-10-22,1999-01-07,1998-11-14,NONE,MAIL,pending furiously furiously carefully furiou
2808,229,2,2,34.73,420.38,0.0,0.03,N,F,1998-11-18,1998-12-17,1998-12-02,DELIVER IN PERSON,REG AIR,regular blithely furiously furiously blithel
2808,73,90,3,5.11,147.31,0.02,0.07,N,F,1998-11-06,1998-12-18,1998-12-02,COLLECT COD,RAIL,quickly quickly unusual special blithely qui
2809,187,70,1,1.72,160.49,0.06,0.07,N,F,1996-08-17,1996-08-31,1996-09-01,TAKE BACK RETURN,RAIL,regular regular carefully unusual regular
2809,277,71,2,30.62,2213.56,0.01,0.04,N,F,1996-08-30,1996-09-13,1996-09-01,DELIVER IN PERSON,MAIL,final furiously quickly blithely final unusu
2809,148,2,3,27.74,779.47,0.04,0.03,R,F,1996-08-23,1996-08-31,1996-09-06,COLLECT COD,RAIL,blithely carefully unusual express final spe
2810,7,9,1,9.13,404.97,0.08,0.05,R,F,1994-03-11,1994-03-12,1994-03-30,DELIVER IN PERSON,AIR,furiously slyly express
2810,230,98,2,11.78,4915.85,0.03,0.07,N,F,1994-01-31,1994-04-04,1994-02-13,COLLECT COD,REG AIR,quickly final unusual blithely express unusu
2810,36,30,3,39.92,2852.64,0.08,0.04,N,F,1994-02-24,1994-03-25,1994-03-14,DELIVER IN PERSON,SHIP,silent silent unusual
2811,204,9,1,36.27,726.22,0.1,0.07,R,F,1997-04-07,1997-04-12,1997-04-20,COLLECT COD,MAIL,pending carefully slyly silent final careful
2811,498,31,2,15.46,3943.6,0.01,0.07,R,F,1997-03-18,1997-03-14,1997-04-12,NONE,TRUCK,blithely slyly special blithely unusual quic
2811,241,88,3,13.41,2547.19,0.01,0.05,N,F,1997-04-05,1997-04-09,1997-04-21,COLLECT COD,MAIL,final furiously silent unusual special
2812,198,8,1,9.06,1087.34,0.04,0.03,A,F,1993-09-15,1993-10-15,1993-10-12,DELIVER IN PERSON,TRUCK,quickly carefully special final regular unus
2812,462,23,2,27.73,3257.32,0.03,0.07,N,F,1993-10-04,1993-11-14,1993-10-14,TAKE BACK RETURN,SHIP,special slyly carefully blithely furiously p
2812,487,20,3,25.53,2758.36,0.07,0.01,R,F,1993-09-28,1993-09-27,1993-10-19,NONE,TRUCK,express final final blithely unusual careful
2813,235,68,1,8.83,3177.26,0.03,0.06,A,F,1994-10-31,1994-12-11,1994-11-03,NONE,REG AIR,slyly blithely special slyly unusual
2813,150,42,2,35.07,2003.35,0.09,0.02,A,F,1994-10-21,1994-11-08,1994-11-07,TAKE BACK RETURN,MAIL,final unusual special quickly blithely expre
2813,309,46,3,8.36,2081.96,0.04,0.0,R,F,1994-10-28,1994-11-25,1994-11-15,TAKE BACK RETURN,TRUCK,final slyly special carefully special quickl
2814,471,78,1,30.24,3438.46,0.03,0.02,A,F,1994-01-27,1994-03-08,1994-02-20,NONE,MAIL,furiously final blithely
2814,269,61,2,11.72,4571.33,0.06,0.05,N,F,1994-01-17,1994-02-07,1994-01-18,COLLECT COD,MAIL,silent unusual silent furiously final quickl
2814,187,38,3,46.71,942.76,0.08,0.06,A,F,1994-02-20,1994-03-19,1994-03-15,NONE,RAIL,special furiously regular carefully
2815,420,77,1,13.16,1092.11,0.08,0.01,R,F,1995-09-12,1995-10-18,1995-09-25,DELIVER IN PERSON,AIR,furiously final blithely quickly quickly bli
2815,303,61,2,25.5,1096.6,0.06,0.04,R,F,1995-09-09,1995-11-25,1995-10-08,DELIVER IN PERSON,FOB,final pending carefully special special blit
2815,485,95,3,43.2,2331.66,0.06,0.0,R,F,1995-09-11,1995-10-31,1995-09-20,NONE,REG AIR,silent furiously pending regular blithely un
2816,347,68,1,38.43,1994.12,0.08,0.03,A,F,1995-12-10,1996-02-02,1995-12-28,DELIVER IN PERSON,RAIL,slyly special blithely unusual pending caref
2816,392,70,2,9.06,3609.94,0.1,0.01,A,F,1995-11-25,1996-02-05,1995-12-21,DELIVER IN PERSON,MAIL,regular quickly slyly silent special
2816,4,66,3,2.8,2487.05,0.03,0.02,A,F,1995-12-23,1996-01-18,1995-12-29,DELIVER IN PERSON,MAIL,special special carefully silent special sil
2817,208,92,1,14.19,821.35,0.05,0.04,A,F,1997-05-28,1997-06-25,1997-05-29,DELIVER IN PERSON,FOB,regular silent slyly final pending
2817,15,94,2,37.37,1527.48,0.09,0.03,R,F,1997-04-29,1997-05-16,1997-05-08,TAKE BACK RETURN,REG AIR,silent silent quickly
2817,100,32,3,19.17,1604.01,0.06,0.06,N,F,1997-04-15,1997-06-26,1997-04-21,NONE,SHIP,slyly furiously express slyly
2818,237,22,1,37.41,213.28,0.06,0.06,A,F,1996-10-18,1996-11-09,1996-11-15,COLLECT COD,FOB,final silent furiously
2818,464,48,2,9.0,4579.07,0.03,0.08,A,F,1996-10-01,1996-11-18,1996-10-06,NONE,SHIP,slyly furiously silent silent express slyly 
2818,120,47,3,26.97,3800.39,0.06,0.01,A,F,1996-10-16,1996-10-09,1996-10-25,COLLECT COD,AIR,final quickly final blithely unusual special
2819,439,45,1,40.89,3238.97,0.08,0.01,N,F,1996-06-11,1996-06-15,1996-07-11,COLLECT COD,TRUCK,silent slyly quickly pending
2819,128,32,2,35.23,746.71,0.07,0.02,R,F,1996-06-11,1996-07-05,1996-07-10,DELIVER IN PERSON,AIR,slyly blithely regular slyly
2819,392,74,3,46.66,4526.78,0.07,0.01,N,F,1996-06-11,1996-05-28,1996-06-18,NONE,MAIL,slyly final pending blithely regular careful
2820,89,31,1,14.88,3647.72,0.0,0.05,R,F,1995-09-01,1995-09-12,1995-09-09,DELIVER IN PERSON,FOB,carefully special unusual blithely carefully
2820,19,56,2,41.96,3934.22,0.01,0.07,N,F,1995-08-18,1995-09-19,1995-09-16,NONE,RAIL,slyly regular carefully slyly furiously sile
2820,44,97,3,40.71,2074.86,0.08,0.01,N,F,1995-08-21,1995-09-09,1995-09-08,DELIVER IN PERSON,MAIL,pending quickly express final blithely quick
2821,217,19,1,41.87,4275.19,0.0,0.06,A,F,1993-03-02,1993-05-14,1993-03-27,TAKE BACK RETURN,AIR,final blithely slyly
2821,485,23,2,40.62,4246.11,0.05,0.01,A,F,1993-03-25,1993-04-25,1993-04-13,COLLECT COD,RAIL,regular slyly slyly silent final furiously r
2821,499,5,3,30.12,1198.09,0.0,0.05,R,F,1993-04-11,1993-04-12,1993-05-11,NONE,FOB,slyly regular carefully
2822,152,100,1,45.43,3234.84,0.0,0.01,N,F,1995-01-03,1995-03-08,1995-01-14,DELIVER IN PERSON,TRUCK,pending express pending blithely
2822,199,25,2,26.22,4256.85,0.06,0.04,A,F,1995-01-20,1995-01-16,1995-02-13,DELIVER IN PERSON,TRUCK,unusual slyly quickly special carefully regu
2822,127,25,3,43.63,3255.4,0.05,0.07,N,F,1995-01-19,1995-02-01,1995-02-02,NONE,SHIP,blithely silent quickly furiously regular re
2823,433,23,1,30.82,268.82,0.1,0.01,R,F,1995-09-07,1995-10-06,1995-09-30,COLLECT COD,REG AIR,furiously blithely special final blithely ex
2823,28,50,2,21.25,3605.09,0.08,0.01,A,F,1995-09-10,1995-10-12,1995-09-16,COLLECT COD,MAIL,carefully special blithely express blithely 
2823,363,31,3,2.15,4953.07,0.05,0.07,N,F,1995-09-01,1995-10-19,1995-09-11,DELIVER IN PERSON,RAIL,regular unusual furiously quickly quickly pe
2824,401,61,1,27.43,2969.3,0.1,0.06,N,F,1998-03-17,1998-03-22,1998-04-03,COLLECT COD,MAIL,quickly blithely pending blithely
2824,331,49,2,20.22,3834.75,0.09,0.08,N,F,1998-03-18,1998-03-30,1998-04-12,TAKE BACK RETURN,REG AIR,regular regular blithely
2824,312,66,3,5.47,2252.06,0.0,0.08,N,F,1998-03-19,1998-04-19,1998-04-16,DELIVER IN PERSON,RAIL,unusual express unusual slyly furiously slyl
2825,418,58,1,3.74,1474.95,0.07,0.01,A,F,1998-08-30,1998-08-14,1998-09-22,DELIVER IN PERSON,FOB,express special carefully quickly unusual pe
2825,462,15,2,22.1,1701.73,0.07,0.03,A,F,1998-08-18,1998-09-19,1998-08-23,TAKE BACK RETURN,FOB,express blithely slyly slyly silent silent
2825,162,31,3,31.86,975.52,0.03,0.01,A,F,1998-07-06,1998-09-27,1998-07-23,NONE,AIR,carefully furiously furiously pending final 
2826,424,72,1,28.7,816.84,0.09,0.05,N,F,1995-05-12,1995-07-22,1995-05-29,NONE,RAIL,unusual furiously express final regular spec
2826,316,37,2,1.88,3233.86,0.07,0.05,N,F,1995-06-28,1995-06-25,1995-07-23,TAKE BACK RETURN,SHIP,pending unusual slyly carefully pending
2826,484,41,3,42.56,1974.21,0.0,0.02,R,F,1995-05-16,1995-06-30,1995-06-09,NONE,TRUCK,carefully carefully regular final
2827,347,58,1,2.28,237.08,0.06,0.01,R,F,1996-11-13,1996-12-27,1996-12-12,COLLECT COD,SHIP,regular final express express slyly express
2827,469,62,2,27.21,1425.11,0.05,0.05,A,F,1996-12-07,1997-01-08,1997-01-05,COLLECT COD,REG AIR,quickly final quickly express express silent
2827,398,41,3,16.62,3143.6,0.06,0.0,R,F,1996-11-02,1996-11-30,1996-11-29,TAKE BACK RETURN,AIR,carefully pending express unusual
2828,206,36,1,19.06,3249.5,0.08,0.05,R,F,1996-05-07,1996-04-29,1996-05-26,NONE,FOB,regular express blithely unusual blithely
2828,332,86,2,17.32,4551.15,0.0,0.0,A,F,1996-05-02,1996-06-01,1996-05-17,DELIVER IN PERSON,REG AIR,blithely furiously express slyly regular exp
2828,278,81,3,17.9,3580.32,0.07,0.04,N,F,1996-05-01,1996-05-18,1996-05-18,TAKE BACK RETURN,MAIL,final furiously quickly final special
2829,497,41,1,4.11,4074.15,0.07,0.02,A,F,1997-09-13,1997-10-27,1997-09-24,COLLECT COD,SHIP,special blithely quickly
2829,75,70,2,22.34,4249.01,0.09,0.06,N,F,1997-09-08,1997-10-24,1997-09-18,COLLECT COD,AIR,slyly quickly furiously furiously furiously 
2829,185,68,3,9.83,725.13,0.08,0.07,R,F,1997-10-23,1997-10-16,1997-10-26,NONE,TRUCK,special blithely silent final slyly final un
2830,109,91,1,40.94,3393.94,0.04,0.06,R,F,1995-03-03,1995-04-03,1995-03-15,NONE,REG AIR,unusual pending pending quickly
2830,476,6,2,45.36,331.48,0.03,0.04,R,F,1995-04-01,1995-03-20,1995-04-25,DELIVER IN PERSON,SHIP,silent unusual furiously final regular regul
2830,112,77,3,34.49,610.82,0.07,0.05,A,F,1995-03-13,1995-04-01,1995-04-02,TAKE BACK RETURN,REG AIR,carefully carefully silent express quickly
2831,471,33,1,43.75,1619.62,0.08,0.06,R,F,1993-06-18,1993-06-08,1993-06-24,DELIVER IN PERSON,MAIL,furiously carefully furiously silent special
2831,159,36,2,48.98,4004.3,0.07,0.07,R,F,1993-06-26,1993-06-30,1993-07-11,DELIVER IN PERSON,REG AIR,express special slyly
2831,184,99,3,31.74,1205.76,0.0,0.02,R,F,1993-05-16,1993-06-12,1993-06-12,TAKE BACK RETURN,TRUCK,quickly express special regular furiously si
2832,18,36,1,15.73,2845.36,0.06,0.03,A,F,1995-03-27,1995-05-09,1995-04-23,TAKE BACK RETURN,REG AIR,silent carefully blithely regular unusual sl
2832,34,97,2,37.29,967.71,0.06,0.06,N,F,1995-04-27,1995-05-17,1995-05-22,DELIVER IN PERSON,RAIL,quickly furiously special
2832,408,41,3,15.85,872.26,0.05,0.08,A,F,1995-03-28,1995-06-04,1995-04-05,COLLECT COD,RAIL,slyly blithely furiously blithely
2833,318,84,1,27.75,2624.76,0.01,0.05,N,F,1995-08-21,1995-09-11,1995-08-31,COLLECT COD,RAIL,express final express carefully slyly
2833,102,89,2,32.8,1396.8,0.05,0.0,R,F,1995-09-01,1995-08-22,1995-09-24,DELIVER IN PERSON,REG AIR,special regular special express
2833,183,74,3,42.54,1586.62,0.01,0.08,N,F,1995-09-01,1995-10-06,1995-09-27,NONE,REG AIR,express express furiously express express
2834,75,4,1,27.65,719.6,0.08,0.01,N,F,1996-07-17,1996-08-13,1996-07-18,TAKE BACK RETURN,AIR,regular unusual silent blithely blithely fin
2834,10,28,2,29.55,2731.86,0.07,0.02,R,F,1996-07-06,1996-07-29,1996-07-13,TAKE BACK RETURN,REG AIR,special express regular
2834,435,17,3,16.8,318.06,0.07,0.01,A,F,1996-06-18,1996-07-30,1996-07-15,TAKE BACK RETURN,MAIL,quickly express quickly pending quickly furi
2835,191,45,1,35.66,1478.31,0.04,0.03,A,F,1994-11-24,1994-11-20,1994-12-17,DELIVER IN PERSON,FOB,regular slyly express carefully
2835,382,42,2,6.16,4691.8,0.1,0.05,N,F,1994-10-26,1994-11-15,1994-11-04,DELIVER IN PERSON,FOB,quickly regular carefully
2835,287,100,3,15.64,936.91,0.09,0.02,N,F,1994-10-01,1994-12-21,1994-10-04,COLLECT COD,AIR,express quickly express express
2836,348,55,1,31.48,2218.14,0.02,0.05,N,F,1996-02-22,1996-03-21,1996-02-24,NONE,REG AIR,furiously slyly carefully blithely furiously
2836,328,82,2,45.95,4182.57,0.04,0.08,R,F,1996-01-22,1996-04-02,1996-02-17,COLLECT COD,FOB,regular regular carefully slyly silent caref
2836,132,60,3,42.39,1888.24,0.07,0.06,A,F,1996-03-09,1996-03-03,1996-03-25,NONE,SHIP,regular special carefully silent furiously s
2837,314,96,1,29.83,2893.18,0.09,0.07,N,F,1993-08-24,1993-08-10,1993-09-03,COLLECT COD,FOB,regular express pending
2837,455,39,2,9.3,1352.46,0.05,0.05,A,F,1993-08-05,1993-09-16,1993-08-21,TAKE BACK RETURN,RAIL,quickly blithely regular blithely unusual pe
2837,136,78,3,7.72,711.75,0.02,0.07,N,F,1993-08-05,1993-08-07,1993-08-27,COLLECT COD,MAIL,carefully carefully furiously blithely final
2838,157,51,1,32.56,2387.51,0.02,0.05,A,F,1996-02-26,1996-04-24,1996-03-17,DELIVER IN PERSON,MAIL,final slyly quickly
2838,102,6,2,20.82,174.55,0.07,0.02,R,F,1996-03-06,1996-03-05,1996-03-22,TAKE BACK RETURN,TRUCK,pending pending final carefully express
2838,431,57,3,46.4,1104.33,0.03,0.06,A,F,1996-03-01,1996-04-02,1996-03-12,COLLECT COD,RAIL,slyly regular carefully pending blithely qui
2839,364,18,1,40.66,527.4,0.08,0.08,A,F,1995-06-30,1995-08-11,1995-07-11,NONE,TRUCK,unusual express carefully furiously unusual
2839,261,49,2,41.69,3437.57,0.1,0.04,N,F,1995-07-26,1995-07-02,1995-08-16,TAKE BACK RETURN,REG AIR,blithely regular carefully express blithely 
2839,206,87,3,42.34,3481.94,0.0,0.05,N,F,1995-07-09,1995-07-22,1995-07-26,COLLECT COD,MAIL,quickly furiously quickly pending slyly
2840,329,8,1,33.74,3982.92,0.1,0.03,A,F,1995-03-24,1995-02-26,1995-03-27,TAKE BACK RETURN,REG AIR,silent furiously slyly carefully quickly sil
2840,360,7,2,8.46,2681.97,0.1,0.06,N,F,1995-01-30,1995-03-02,1995-02-17,TAKE BACK RETURN,TRUCK,carefully quickly final final quickly expres
2840,376,13,3,14.62,3265.72,0.1,0.04,N,F,1995-03-19,1995-04-06,1995-04-12,TAKE BACK RETURN,MAIL,furiously unusual special regular pending pe
2841,423,81,1,44.69,1303.95,0.01,0.07,R,F,1997-09-14,1997-10-06,1997-09-27,NONE,AIR,slyly regular furiously furiously slyly unus
2841,359,77,2,37.88,1451.06,0.08,0.05,N,F,1997-09-20,1997-11-27,1997-10-13,DELIVER IN PERSON,RAIL,express unusual carefully regular express pe
2841,216,11,3,15.45,2434.18,0.06,0.0,N,F,1997-09-14,1997-12-02,1997-10-05,DELIVER IN PERSON,REG AIR,furiously pending furiously
2842,139,14,1,3.8,766.92,0.07,0.04,A,F,1993-12-22,1994-01-22,1994-01-02,TAKE BACK RETURN,TRUCK,furiously carefully blithely final final
2842,357,22,2,9.68,3652.54,0.07,0.07,A,F,1994-01-08,1994-02-18,1994-01-28,NONE,REG AIR,carefully final silent pending final furious
2842,483,67,3,38.53,4584.63,0.02,0.01,R,F,1994-01-25,1994-02-26,1994-02-23,DELIVER IN PERSON,AIR,slyly carefully blithely pending pending fur
2843,284,26,1,32.47,1546.63,0.06,0.02,R,F,1994-12-27,1995-01-19,1995-01-20,DELIVER IN PERSON,TRUCK,unusual silent final silent quickly blithely
2843,14,94,2,36.97,2140.92,0.08,0.07,N,F,1995-01-14,1994-12-23,1995-01-16,COLLECT COD,REG AIR,blithely pending special carefully pending c
2843,279,76,3,10.33,3802.0,0.1,0.05,A,F,1994-12-03,1995-01-09,1994-12-23,COLLECT COD,MAIL,carefully carefully silent
2844,129,87,1,45.22,2062.02,0.09,0.02,A,F,1997-12-10,1998-01-18,1997-12-21,COLLECT COD,SHIP,slyly final slyly express blithely
2844,468,61,2,3.73,1282.25,0.04,0.04,R,F,1997-11-22,1998-01-04,1997-12-19,TAKE BACK RETURN,REG AIR,final unusual regular
2844,138,77,3,46.62,805.01,0.08,0.01,A,F,1997-12-30,1997-12-12,1997-12-31,TAKE BACK RETURN,TRUCK,express unusual unusual carefully unusual un
2845,446,7,1,9.76,3971.37,0.01,0.01,R,F,1998-02-26,1998-03-31,1998-03-22,TAKE BACK RETURN,RAIL,furiously blithely pending slyly slyly furio
2845,473,83,2,47.52,2196.21,0.02,0.05,N,F,1998-02-16,1998-03-28,1998-02-23,DELIVER IN PERSON,RAIL,slyly express blithely final regular final
2845,326,64,3,30.45,3314.5,0.03,0.08,R,F,1998-02-12,1998-02-23,1998-03-07,TAKE BACK RETURN,TRUCK,blithely slyly unusual
2846,146,90,1,13.43,2996.13,0.05,0.02,A,F,1998-04-29,1998-06-09,1998-05-03,NONE,AIR,pending quickly furiously express
2846,234,28,2,49.55,2377.23,0.03,0.02,A,F,1998-04-22,1998-06-16,1998-05-08,NONE,FOB,carefully quickly special unusual slyly
2846,27,13,3,42.29,4288.79,0.06,0.03,N,F,1998-05-06,1998-06-07,1998-05-09,TAKE BACK RETURN,TRUCK,silent slyly unusual blithely blithely
2847,319,65,1,25.97,1263.14,0.07,0.01,A,F,1996-02-14,1996-03-05,1996-03-07,NONE,MAIL,slyly carefully silent carefully carefully u
2847,391,20,2,23.9,2519.23,0.04,0.02,A,F,1996-03-16,1996-03-06,1996-04-10,TAKE BACK RETURN,MAIL,final express carefully quickly blithely
2847,49,49,3,5.95,4369.13,0.02,0.06,A,F,1996-03-26,1996-03-25,1996-04-20,TAKE BACK RETURN,SHIP,quickly slyly quickly slyly final pending ca
2848,238,11,1,20.27,3130.8,0.04,0.03,A,F,1998-08-27,1998-08-16,1998-08-28,DELIVER IN PERSON,REG AIR,express final silent blithely carefully
2848,298,55,2,19.7,4953.34,0.04,0.08,R,F,1998-07-23,1998-07-31,1998-08-12,NONE,TRUCK,unusual silent silent quickly
2848,154,10,3,39.44,932.27,0.01,0.04,N,F,1998-08-09,1998-08-30,1998-08-12,COLLECT COD,REG AIR,slyly silent blithely final special
2849,407,45,1,43.64,309.79,0.08,0.03,N,F,1995-06-25,1995-08-01,1995-07-08,DELIVER IN PERSON,MAIL,special regular final pending carefully regu
2849,321,96,2,17.95,2692.17,0.03,0.01,N,F,1995-06-14,1995-08-05,1995-07-05,TAKE BACK RETURN,MAIL,pending quickly quickly slyly regular quickl
2849,132,54,3,45.37,869.69,0.07,0.05,N,F,1995-06-03,1995-07-02,1995-06-04,DELIVER IN PERSON,TRUCK,regular blithely furiously special furiously
2850,241,37,1,19.13,1231.13,0.01,0.02,R,F,1994-09-09,1994-09-23,1994-09-27,TAKE BACK RETURN,AIR,slyly regular slyly blithely final unusual p
2850,473,52,2,44.59,2668.94,0.01,0.01,A,F,1994-09-02,1994-09-29,1994-09-20,COLLECT COD,REG AIR,pending slyly special express special blithe
2850,71,96,3,39.07,451.43,0.01,0.02,R,F,1994-09-11,1994-10-27,1994-10-03,COLLECT COD,MAIL,special special express express
2851,56,16,1,30.15,4630.23,0.06,0.02,N,F,1994-01-12,1994-01-10,1994-01-18,NONE,SHIP,unusual quickly final pending quickly blithe
2851,212,12,2,19.28,1593.42,0.0,0.05,A,F,1993-12-21,1994-01-15,1994-01-04,NONE,FOB,unusual blithely regular
2851,79,18,3,29.96,3059.73,0.06,0.05,R,F,1993-12-30,1994-01-30,1994-01-13,COLLECT COD,SHIP,special final slyly furiously furiously fina
2852,165,29,1,32.53,687.93,0.03,0.07,N,F,1997-11-22,1997-12-26,1997-12-20,COLLECT COD,REG AIR,carefully quickly regular pending
2852,131,86,2,36.44,2060.79,0.07,0.06,A,F,1997-12-25,1998-01-07,1998-01-22,COLLECT COD,AIR,final regular pending pending quickly silent
2852,381,65,3,33.2,4207.56,0.01,0.07,R,F,1997-12-30,1998-01-01,1998-01-28,TAKE BACK RETURN,REG AIR,carefully furiously final final blithely fur
2853,331,57,1,45.63,3952.09,0.04,0.07,N,F,1999-01-18,1999-01-02,1999-01-25,TAKE BACK RETURN,TRUCK,final final final pending
2853,353,15,2,8.12,1333.64,0.07,0.04,A,F,1998-12-21,1999-02-18,1999-01-10,TAKE BACK RETURN,RAIL,special furiously regular final unusual fina
2853,110,57,3,7.1,1098.09,0.07,0.02,N,F,1999-01-13,1999-02-07,1999-02-09,DELIVER IN PERSON,FOB,carefully special quickly
2854,409,4,1,28.17,2752.94,0.08,0.01,N,F,1996-06-17,1996-06-26,1996-07-06,COLLECT COD,REG AIR,quickly slyly silent carefully silent pendin
2854,106,75,2,5.77,3303.04,0.06,0.02,A,F,1996-06-23,1996-06-30,1996-07-06,COLLECT COD,REG AIR,quickly express carefully silent express fur
2854,297,56,3,26.53,3910.51,0.06,0.08,R,F,1996-07-08,1996-06-24,1996-08-01,COLLECT COD,FOB,unusual express pending special silent expre
2855,102,25,1,24.57,4731.56,0.02,0.01,A,F,1996-05-03,1996-06-09,1996-05-04,NONE,MAIL,furiously silent quickly pending unusual
2855,197,99,2,47.66,462.55,0.06,0.06,R,F,1996-03-29,1996-05-01,1996-04-04,NONE,MAIL,final blithely carefully silent regular spec
2855,410,83,3,29.31,1616.03,0.08,0.05,A,F,1996-04-05,1996-06-20,1996-04-26,DELIVER IN PERSON,AIR,unusual pending unusual express blithely fin
2856,328,70,1,11.91,2627.72,0.08,0.02,A,F,1998-06-08,1998-07-01,1998-06-22,DELIVER IN PERSON,SHIP,quickly unusual unusual express silent
2856,319,22,2,26.14,722.89,0.03,0.04,A,F,1998-06-05,1998-07-25,1998-07-05,NONE,TRUCK,special carefully quickly unusual slyly fina
2856,472,86,3,29.11,861.2,0.01,0.05,N,F,1998-05-18,1998-06-21,1998-05-24,DELIVER IN PERSON,REG AIR,regular slyly carefully pending pending
2857,167,75,1,20.9,1050.38,0.03,0.07,N,F,1997-01-06,1997-01-31,1997-01-19,DELIVER IN PERSON,REG AIR,furiously furiously silent blithely regular 
2857,118,82,2,21.99,903.25,0.03,0.05,N,F,1997-01-23,1997-02-22,1997-02-21,NONE,FOB,slyly blithely carefully unusual final furio
2857,460,83,3,43.59,4404.28,0.04,0.01,R,F,1996-12-18,1997-01-21,1996-12-26,COLLECT COD,REG AIR,slyly regular unusual furiously final
2858,497,15,1,11.76,1785.94,0.04,0.05,N,F,1997-08-14,1997-08-18,1997-09-05,NONE,RAIL,pending silent special final
2858,372,8,2,13.53,4097.26,0.03,0.02,N,F,1997-08-03,1997-09-16,1997-08-08,DELIVER IN PERSON,MAIL,slyly slyly unusual special quickly
2858,466,2,3,15.64,4986.65,0.07,0.06,R,F,1997-08-18,1997-08-05,1997-09-15,TAKE BACK RETURN,RAIL,blithely express blithely furiously silent p
2859,329,69,1,14.8,4288.43,0.03,0.01,A,F,1998-02-23,1998-04-17,1998-03-09,NONE,RAIL,regular blithely blithely
2859,191,82,2,25.74,4054.41,0.09,0.01,R,F,1998-02-04,1998-03-12,1998-02-17,NONE,SHIP,express furiously express unusual special
2859,88,86,3,38.94,3894.72,0.07,0.06,N,F,1998-03-29,1998-04-09,1998-04-21,DELIVER IN PERSON,REG AIR,carefully silent slyly
2860,487,95,1,46.74,4773.85,0.04,0.04,N,F,1998-06-16,1998-06-29,1998-06-26,COLLECT COD,REG AIR,express silent silent blithely quickly expre
